patent_count_by_gender_collab,filing_year,gender_collab_type,gov_reliance_type_three_type,patent_count,pct
1303,1981,gender_collab,Indirect,126,9.669992325402916
2486,2009,only_females,Direct,118,4.746580852775543
2673,2008,only_females,Indirect,473,17.695473251028808
1815,1984,gender_collab,No_support,1428,78.67768595041322
1396,1989,only_females,Indirect,118,8.45272206303725
74460,1998,only_males,Direct,2691,3.6140209508460917
732,1981,only_females,Indirect,68,9.289617486338798
1508,1992,only_females,No_support,1315,87.20159151193634
1074,1987,only_females,Indirect,123,11.452513966480447
36857,1980,only_males,Direct,1626,4.411645006375994
80600,2003,only_males,No_support,60434,74.9801488833747
74460,1998,only_males,Indirect,12302,16.521622347569163
34796,1981,only_males,Indirect,3602,10.351764570640304
57814,1994,only_males,Indirect,8937,15.458193517141178
4152,1990,gender_collab,Indirect,571,13.752408477842003
856,1984,only_females,Direct,25,2.9205607476635516
98724,2015,only_males,Direct,1748,1.7705927636643572
11106,1998,gender_collab,Indirect,2215,19.944174320187287
77454,2004,only_males,Direct,3038,3.9223280915123815
1404,1976,gender_collab,Direct,76,5.413105413105413
44963,1989,only_males,Indirect,5970,13.277583791117141
7131,1994,gender_collab,No_support,5283,74.08498106857384
3254,2013,only_females,Direct,132,4.056545789797172
103734,2017,only_males,No_support,103120,99.40810149035032
2800,2011,only_females,Direct,121,4.321428571428571
7131,1994,gender_collab,Direct,572,8.02131538353667
57814,1994,only_males,Direct,2446,4.2308091465734945
37661,1978,only_males,Indirect,3257,8.648203712062877
766,1977,only_females,No_support,691,90.2088772845953
2513,2007,only_females,No_support,1938,77.11898129725428
2791,1999,only_females,Direct,93,3.3321390182730206
27219,2016,gender_collab,No_support,25521,93.76171056982255
766,1977,only_females,Indirect,57,7.441253263707572
732,1981,only_females,No_support,633,86.47540983606558
36965,1979,only_males,Indirect,3464,9.371026646828081
9795,1995,gender_collab,No_support,6698,68.38182746299132
2518,2010,only_females,No_support,1938,76.96584590945194
1286,1988,only_females,No_support,1133,88.10264385692068
14659,2004,gender_collab,Indirect,3719,25.370079814448463
3793,2017,only_females,Indirect,13,0.3427366200896388
7131,1994,gender_collab,Indirect,1276,17.893703547889498
1100,1978,gender_collab,Direct,78,7.090909090909091
1303,1981,gender_collab,Direct,95,7.290867229470453
50014,1992,only_males,Indirect,7132,14.260007197984564
32257,1983,only_males,Indirect,3706,11.488979136311498
103734,2017,only_males,Indirect,545,0.5253822276206451
76162,2006,only_males,Indirect,17501,22.978650770725558
2490,2006,only_females,No_support,1897,76.18473895582329
13961,2000,gender_collab,Indirect,3219,23.0570876011747
777,1979,only_females,Direct,19,2.4453024453024454
18491,2011,gender_collab,Direct,1488,8.047158076902276
21448,2012,gender_collab,Direct,1533,7.1475195822454305
13961,2000,gender_collab,Direct,931,6.66857674951651
8586,1996,gender_collab,Indirect,1596,18.58839972047519
2713,1997,only_females,No_support,2300,84.77699963140435
2702,2003,only_females,Indirect,425,15.729089563286454
1485,1991,only_females,Direct,50,3.367003367003367
47436,1991,only_males,No_support,39126,82.4816594991146
2547,2004,only_females,Indirect,405,15.901060070671377
24382,2014,gender_collab,No_support,18687,76.64260520055778
36857,1980,only_males,No_support,31674,85.93754239357517
14866,2003,gender_collab,Indirect,3878,26.086371586169783
2926,2000,only_females,No_support,2385,81.5105946684894
3657,1989,gender_collab,Indirect,543,14.848236259228877
10838,1997,gender_collab,No_support,8036,74.14652149843144
1074,1987,only_females,Direct,25,2.3277467411545625
34796,1981,only_males,Direct,1720,4.943096907690539
25430,2015,gender_collab,Indirect,3000,11.797090051120724
1396,1989,only_females,Direct,43,3.0802292263610314
82781,2002,only_males,No_support,62448,75.4376004155543
732,1981,only_females,Direct,31,4.2349726775956285
2285,1986,gender_collab,Direct,155,6.783369803063457
49551,1976,only_males,Direct,1772,3.576113499223023
3248,1988,gender_collab,Direct,215,6.619458128078818
82221,2000,only_males,No_support,63627,77.38533951180355
27219,2016,gender_collab,Indirect,1360,4.996509790954848
76941,2005,only_males,Direct,3076,3.9978684966402827
33657,1984,only_males,Indirect,4094,12.163888641293045
66172,1996,only_males,Indirect,10288,15.54736142174938
1303,1981,gender_collab,No_support,1082,83.03914044512663
3644,2016,only_females,Direct,23,0.6311745334796927
2926,2000,only_females,Direct,103,3.520164046479836
1286,1988,only_females,Indirect,116,9.020217729393469
856,1984,only_females,No_support,757,88.43457943925233
2791,1999,only_females,Indirect,389,13.937656753851666
765,1978,only_females,Direct,16,2.0915032679738563
3018,2012,only_females,Direct,128,4.241219350563287
15736,2009,gender_collab,Direct,1311,8.3312150482969
2231,1996,only_females,No_support,1886,84.5360824742268
1562,1983,gender_collab,Direct,113,7.234314980793854
24382,2014,gender_collab,Direct,1189,4.876548273316381
1485,1991,only_females,Indirect,146,9.831649831649832
3392,2020,only_females,No_support,3392,100.0
1513,1982,gender_collab,Direct,127,8.39391936549901
765,1978,only_females,No_support,685,89.54248366013071
9795,1995,gender_collab,Direct,829,8.46350178662583
97461,2013,only_males,Indirect,19295,19.797662654805514
1272,1980,gender_collab,Direct,96,7.547169811320755
16514,2007,gender_collab,Direct,1329,8.047717088530943
40198,1977,only_males,Indirect,3123,7.76904323598189
1016,1986,only_females,Indirect,75,7.381889763779528
34796,1981,only_males,No_support,29474,84.70513852166916
98806,2014,only_males,No_support,79686,80.64894844442645
100808,2016,only_males,Direct,713,0.7072851361003095
36857,1980,only_males,Indirect,3557,9.650812600048837
2486,2009,only_females,Indirect,406,16.331456154465005
1485,1991,only_females,No_support,1289,86.8013468013468
858,1976,only_females,Direct,18,2.097902097902098
1208,1977,gender_collab,No_support,1045,86.50662251655629
8586,1996,gender_collab,No_support,6401,74.55159562077802
3254,2013,only_females,Indirect,523,16.072526121696374
11106,1998,gender_collab,Direct,794,7.149288672789483
52290,1993,only_males,No_support,42545,81.36354943583859
16407,2008,gender_collab,Indirect,3985,24.288413482050345
77623,1999,only_males,Direct,2778,3.578836169691973
92219,2012,only_males,Direct,3526,3.823507086392175
2547,2004,only_females,No_support,2066,81.11503729878288
3744,2018,only_females,No_support,3744,100.0
40198,1977,only_males,Direct,1654,4.114632568784517
1508,1992,only_females,Indirect,141,9.350132625994695
71564,2009,only_males,Indirect,16491,23.04370912749427
3000,2001,only_females,No_support,2421,80.7
16967,2010,gender_collab,No_support,11145,65.68633229209642
82713,2001,only_males,Indirect,16610,20.08148658614728
1849,1994,only_females,Indirect,231,12.49323958896701
44963,1989,only_males,Direct,1724,3.8342637279540956
68010,1995,only_males,No_support,53167,78.17526834289075
97461,2013,only_males,Direct,3336,3.422907624588297
16967,2010,gender_collab,Direct,1367,8.056816172570283
765,1978,only_females,Indirect,64,8.366013071895425
2800,2011,only_females,Indirect,526,18.785714285714285
1208,1977,gender_collab,Indirect,75,6.208609271523179
47436,1991,only_males,Indirect,6325,13.333754954043343
14866,2003,gender_collab,Direct,1083,7.285080048432665
34801,1985,only_males,Indirect,4350,12.499640814919111
66172,1996,only_males,Direct,2426,3.6662032279513994
2471,2005,only_females,Indirect,423,17.118575475515986
18491,2011,gender_collab,No_support,12426,67.20025958574442
13961,2000,gender_collab,No_support,9811,70.2743356493088
9795,1995,gender_collab,Indirect,2268,23.15467075038285
2949,2002,only_females,Direct,103,3.4927093930145814
98724,2015,only_males,Indirect,11081,11.224221060734978
3248,1988,gender_collab,No_support,2558,78.75615763546799
2052,1985,gender_collab,Direct,143,6.968810916179337
3793,2017,only_females,No_support,3773,99.47271289216978
37661,1978,only_males,No_support,32781,87.04229839887417
3657,1989,gender_collab,Direct,250,6.836204539239814
2673,2008,only_females,No_support,2078,77.74036662925552
8586,1996,gender_collab,Direct,589,6.8600046587467975
14587,2005,gender_collab,No_support,9786,67.08713237814493
75693,2008,only_males,No_support,55762,73.66863514459726
1513,1982,gender_collab,No_support,1198,79.1804362194316
912,1985,only_females,No_support,804,88.15789473684211
78766,2007,only_males,Indirect,17897,22.721732727318894
34350,1982,only_males,Direct,1717,4.998544395924308
15042,2006,gender_collab,No_support,9974,66.30767185214732
98806,2014,only_males,Indirect,16445,16.643726089508736
12685,1999,gender_collab,Direct,899,7.087110760741033
47436,1991,only_males,Direct,1985,4.184585546842061
68010,1995,only_males,Indirect,11889,17.48125275694751
5006,1992,gender_collab,Direct,368,7.351178585697164
35668,1986,only_males,No_support,29690,83.2398788830324
1272,1980,gender_collab,No_support,1064,83.64779874213836
1396,1989,only_females,No_support,1235,88.46704871060172
2710,1987,gender_collab,Direct,175,6.4575645756457565
2513,2007,only_females,Indirect,465,18.503780342220452
32257,1983,only_males,No_support,27097,84.00347211457978
77623,1999,only_males,No_support,61385,79.08094250415469
32257,1983,only_males,Direct,1454,4.507548749108721
47357,1990,only_males,No_support,39247,82.874759803197
15042,2006,gender_collab,Direct,1203,7.9976067012365375
3657,1989,gender_collab,No_support,2864,78.31555920153131
74460,1998,only_males,No_support,59467,79.86435670158474
11106,1998,gender_collab,No_support,8097,72.90653700702323
4610,1991,gender_collab,Indirect,693,15.032537960954446
21448,2012,gender_collab,No_support,14696,68.51920925027974
2713,1997,only_females,Indirect,321,11.831920383339476
33657,1984,only_males,No_support,28138,83.6022224202989
1815,1984,gender_collab,Indirect,249,13.71900826446281
1849,1994,only_females,Direct,82,4.434829637641968
82240,2011,only_males,Direct,3408,4.143968871595331
71564,2009,only_males,Direct,3164,4.421217371862948
3448,2015,only_females,Indirect,304,8.816705336426914
766,1977,only_females,Direct,18,2.349869451697128
1535,1993,only_females,No_support,1288,83.90879478827361
2518,2010,only_females,Indirect,466,18.506751389992058
10838,1997,gender_collab,Direct,716,6.606384941871194
100808,2016,only_males,Indirect,4959,4.919252440282517
777,1979,only_females,Indirect,62,7.97940797940798
777,1979,only_females,No_support,696,89.57528957528957
50014,1992,only_males,No_support,40742,81.46119086655736
52290,1993,only_males,Direct,2252,4.306750812774909
97461,2013,only_males,No_support,74830,76.77942972060619
80600,2003,only_males,Indirect,17140,21.265508684863523
3644,2016,only_females,No_support,3489,95.7464324917673
1272,1980,gender_collab,Indirect,112,8.80503144654088
2052,1985,gender_collab,No_support,1636,79.72709551656921
27219,2016,gender_collab,Direct,338,1.241779639222602
76941,2005,only_males,Indirect,17234,22.39898103741828
2285,1986,gender_collab,Indirect,354,15.492341356673961
21448,2012,gender_collab,Indirect,5219,24.333271167474823
92219,2012,only_males,No_support,68901,74.71453821880523
42295,1988,only_males,Direct,1589,3.756945265397801
2794,2021,only_females,No_support,2794,100.0
47357,1990,only_males,Indirect,6176,13.04136664062335
28573,2017,gender_collab,Direct,36,0.12599307038112903
49551,1976,only_males,Indirect,3553,7.170390103126072
12685,1999,gender_collab,Indirect,2728,21.505715411903825
2285,1986,gender_collab,No_support,1776,77.72428884026259
78766,2007,only_males,No_support,57562,73.07975522433537
1016,1986,only_females,No_support,905,89.0748031496063
77454,2004,only_males,No_support,56924,73.49394479303845
1208,1977,gender_collab,Direct,88,7.28476821192053
2547,2004,only_females,Direct,76,2.98390263054574
5006,1992,gender_collab,No_support,3855,77.00759089093089
3000,2001,only_females,Direct,104,3.466666666666667
747,1983,only_females,No_support,646,86.47925033467202
2926,2000,only_females,Indirect,438,14.969241285030758
76162,2006,only_males,Direct,3157,4.145111735511147
5006,1992,gender_collab,Indirect,783,15.641230523371954
15736,2009,gender_collab,Indirect,4132,26.258261311642094
82240,2011,only_males,No_support,60572,73.65272373540856
2236,1995,only_females,Direct,116,5.18783542039356
2673,2008,only_females,Direct,122,4.564160119715675
24045,2013,gender_collab,Direct,1554,6.462882096069869
1562,1983,gender_collab,Indirect,187,11.971830985915492
76147,1997,only_males,Indirect,12253,16.09124456643072
92219,2012,only_males,Indirect,19792,21.46195469480259
24045,2013,gender_collab,No_support,17068,70.98357246828863
15307,2002,gender_collab,Direct,1032,6.742013457895081
100487,2018,only_males,No_support,100487,100.0
34801,1985,only_males,No_support,29029,83.41426970489354
15017,2001,gender_collab,Direct,953,6.3461410401544915
2707,1998,only_females,Indirect,321,11.858145548577761
2949,2002,only_females,Indirect,497,16.85317056629366
2490,2006,only_females,Direct,101,4.056224899598393
1849,1994,only_females,No_support,1536,83.07193077339102
14659,2004,gender_collab,No_support,9911,67.61034176956136
1167,1979,gender_collab,No_support,971,83.20479862896315
76147,1997,only_males,No_support,61142,80.29469315928402
1404,1976,gender_collab,No_support,1224,87.17948717948718
1517,1990,only_females,No_support,1341,88.39815425181278
14587,2005,gender_collab,Direct,1155,7.91800918626174
15042,2006,gender_collab,Indirect,3865,25.694721446616143
2713,1997,only_females,Direct,92,3.391079985256174
3448,2015,only_females,No_support,3075,89.18213457076565
75693,2008,only_males,Indirect,16669,22.021851426155656
2471,2005,only_females,No_support,1947,78.79401052205584
2471,2005,only_females,Direct,101,4.087414002428167
777,1982,only_females,Direct,25,3.2175032175032174
36965,1979,only_males,No_support,31944,86.41688083322062
2791,1999,only_females,No_support,2309,82.73020422787532
2231,1996,only_females,Direct,70,3.137606454504706
856,1984,only_females,Indirect,74,8.644859813084112
82221,2000,only_males,Direct,3008,3.6584327604869804
15307,2002,gender_collab,Indirect,4055,26.491147840857124
38583,1987,only_males,Direct,1347,3.4911748697612937
34350,1982,only_males,No_support,28878,84.06986899563319
103734,2017,only_males,Direct,69,0.0665162820290358
3644,2016,only_females,Indirect,132,3.622392974753019
24045,2013,gender_collab,Indirect,5423,22.553545435641507
1100,1978,gender_collab,No_support,924,84.0
82713,2001,only_males,No_support,62986,76.15006105448963
2236,1995,only_females,Indirect,287,12.835420393559929
1167,1979,gender_collab,Direct,85,7.283633247643531
50014,1992,only_males,Direct,2140,4.2788019354580715
858,1976,only_females,Indirect,56,6.526806526806527
1517,1990,only_females,Indirect,124,8.174027686222809
4610,1991,gender_collab,No_support,3598,78.0477223427332
2710,1987,gender_collab,No_support,2161,79.74169741697418
747,1983,only_females,Indirect,72,9.63855421686747
2490,2006,only_females,Indirect,492,19.759036144578314
29998,2019,gender_collab,No_support,29998,100.0
731,1980,only_females,Direct,12,1.6415868673050615
14866,2003,gender_collab,No_support,9905,66.62854836539755
78766,2007,only_males,Direct,3307,4.198512048345733
37661,1978,only_males,Direct,1623,4.309497889062956
21398,2021,gender_collab,No_support,21398,100.0
98806,2014,only_males,Direct,2675,2.707325466064814
69558,2021,only_males,No_support,69558,100.0
101479,2019,only_males,No_support,101479,100.0
1513,1982,gender_collab,Indirect,188,12.4256444150694
77623,1999,only_males,Indirect,13460,17.34022132615333
44963,1989,only_males,No_support,37269,82.88815248092877
1016,1986,only_females,Direct,36,3.543307086614173
2707,1998,only_females,No_support,2280,84.2260805319542
747,1983,only_females,Direct,29,3.8821954484605086
912,1985,only_females,Direct,27,2.960526315789474
35668,1986,only_males,Direct,1280,3.588650891555456
76162,2006,only_males,No_support,55504,72.8762374937633
1286,1988,only_females,Direct,37,2.8771384136858478
42295,1988,only_males,No_support,35119,83.03345549119281
3248,1988,gender_collab,Indirect,475,14.624384236453203
4152,1990,gender_collab,Direct,279,6.719653179190751
5880,1993,gender_collab,Direct,478,8.129251700680273
52290,1993,only_males,Indirect,7493,14.329699751386498
15307,2002,gender_collab,No_support,10220,66.76683870124779
5880,1993,gender_collab,Indirect,1035,17.602040816326532
29004,2018,gender_collab,No_support,29004,100.0
2800,2011,only_females,No_support,2153,76.89285714285714
2513,2007,only_females,Direct,110,4.3772383605252685
2518,2010,only_females,Direct,114,4.527402700555997
3346,2014,only_females,No_support,2806,83.86132695756126
3346,2014,only_females,Indirect,427,12.761506276150628
16514,2007,gender_collab,No_support,10918,66.11360058132493
1535,1993,only_females,Direct,58,3.778501628664495
76186,2010,only_males,No_support,55313,72.60257790145171
40198,1977,only_males,No_support,35421,88.11632419523359
35668,1986,only_males,Indirect,4698,13.171470225412135
28573,2017,gender_collab,Indirect,174,0.6089665068421237
10838,1997,gender_collab,Indirect,2086,19.247093559697362
24382,2014,gender_collab,Indirect,4506,18.48084652612583
2702,2003,only_females,No_support,2187,80.940044411547
18491,2011,gender_collab,Indirect,4577,24.752582337353306
57814,1994,only_males,No_support,46431,80.31099733628533
2486,2009,only_females,No_support,1962,78.92196299275945
777,1982,only_females,No_support,666,85.71428571428571
76186,2010,only_males,Direct,3305,4.338067361457486
2707,1998,only_females,Direct,106,3.915773919468046
68010,1995,only_males,Direct,2954,4.343478900161741
1167,1979,gender_collab,Indirect,111,9.511568123393316
4152,1990,gender_collab,No_support,3302,79.52793834296725
2710,1987,gender_collab,Indirect,374,13.800738007380074
76186,2010,only_males,Indirect,17568,23.059354737090803
2702,2003,only_females,Direct,90,3.3308660251665434
2231,1996,only_females,Indirect,275,12.32631107126849
3018,2012,only_females,No_support,2406,79.72166998011929
98724,2015,only_males,No_support,85895,87.00518617560067
3793,2017,only_females,Direct,7,0.18455048774057475
26649,2020,gender_collab,No_support,26649,100.0
14659,2004,gender_collab,Direct,1029,7.019578415990177
5880,1993,gender_collab,No_support,4367,74.2687074829932
38583,1987,only_males,No_support,32133,83.28279293989581
33657,1984,only_males,Direct,1425,4.233888938408057
80600,2003,only_males,Direct,3026,3.7543424317617866
36965,1979,only_males,Direct,1557,4.212092519951305
16514,2007,gender_collab,Indirect,4267,25.83868233014412
12685,1999,gender_collab,No_support,9058,71.40717382735514
15017,2001,gender_collab,Indirect,3586,23.879603116468004
3769,2019,only_females,No_support,3769,100.0
38583,1987,only_males,Indirect,5103,13.226032190342897
2949,2002,only_females,No_support,2349,79.65412004069177
34350,1982,only_males,Indirect,3755,10.931586608442503
1508,1992,only_females,Direct,52,3.4482758620689653
2052,1985,gender_collab,Indirect,273,13.304093567251462
82713,2001,only_males,Direct,3117,3.7684523593630987
89022,2020,only_males,No_support,89022,100.0
75693,2008,only_males,Direct,3262,4.30951342924709
731,1980,only_females,Indirect,56,7.660738714090288
47357,1990,only_males,Direct,1934,4.083873556179657
912,1985,only_females,Indirect,81,8.881578947368421
100808,2016,only_males,No_support,95136,94.37346242361717
25430,2015,gender_collab,No_support,21589,84.8957923712151
2236,1995,only_females,No_support,1833,81.97674418604652
16407,2008,gender_collab,No_support,11127,67.81861400621686
25430,2015,gender_collab,Direct,841,3.3071175776641764
777,1982,only_females,Indirect,86,11.068211068211069
731,1980,only_females,No_support,663,90.69767441860465
3254,2013,only_females,No_support,2599,79.87092808850646
82221,2000,only_males,Indirect,15586,18.956227727709464
77454,2004,only_males,Indirect,17492,22.583727115449168
76941,2005,only_males,No_support,56631,73.60315046594144
3346,2014,only_females,Direct,113,3.3771667662881053
76147,1997,only_males,Direct,2752,3.614062274285264
34801,1985,only_males,Direct,1422,4.086089480187351
1100,1978,gender_collab,Indirect,98,8.909090909090908
42295,1988,only_males,Indirect,5587,13.209599243409386
3018,2012,only_females,Indirect,484,16.03711066931743
28573,2017,gender_collab,No_support,28363,99.26504042277675
1074,1987,only_females,No_support,926,86.21973929236499
66172,1996,only_males,No_support,53458,80.78643535029921
82240,2011,only_males,Indirect,18260,22.20330739299611
15017,2001,gender_collab,No_support,10478,69.7742558433775
1517,1990,only_females,Direct,52,3.4278180619644036
15736,2009,gender_collab,No_support,10293,65.410523640061
16967,2010,gender_collab,Indirect,4455,26.256851535333293
71564,2009,only_males,No_support,51909,72.53507350064278
49551,1976,only_males,No_support,44226,89.2534963976509
1815,1984,gender_collab,Direct,138,7.603305785123967
82781,2002,only_males,Direct,3051,3.6856283446684626
1535,1993,only_females,Indirect,189,12.31270358306189
82781,2002,only_males,Indirect,17282,20.876771239777245
858,1976,only_females,No_support,784,91.37529137529137
16407,2008,gender_collab,Direct,1295,7.892972511732797
3000,2001,only_females,Indirect,475,15.833333333333334
1562,1983,gender_collab,No_support,1262,80.79385403329066
14587,2005,gender_collab,Indirect,3646,24.994858435593336
1404,1976,gender_collab,Indirect,104,7.407407407407407
3448,2015,only_females,Direct,69,2.0011600928074245
4610,1991,gender_collab,Direct,319,6.919739696312364
