county,population_2021,index_crime,violent_crime,property_crime,violent_crime_with_firearm
Albany,311537,7880,1197,6683,279
Allegany,46443,385,91,294,8
Bronx,1426273,38311,14819,23492,2565
Broome,193265,4647,651,3996,77
Cattaraugus,75671,1061,150,911,27
Cayuga,77627,1018,158,860,13
Chautauqua,128462,2566,365,2201,60
Chemung,84162,1334,152,1182,21
Chenango,47589,609,91,518,3
Clinton,81627,884,106,778,5
Columbia,60740,592,81,511,9
Cortland,48194,752,60,692,5
Delaware,44699,469,68,401,5
Dutchess,300499,3302,543,2759,88
Erie,940988,20441,3481,16960,1158
Essex,36085,257,54,203,4
Franklin,51101,576,65,511,1
Fulton,53808,941,147,794,27
Genesee,58063,861,155,706,12
Greene,48211,592,206,386,5
Hamilton,4409,28,10,18,0
Herkimer,62186,890,133,757,3
Jefferson,110090,1844,220,1624,17
Kings,2643508,50476,15249,35227,2365
Lewis,26781,133,21,112,2
Livingston,63744,530,46,484,3
Madison,72021,910,127,783,7
Monroe,759863,14726,2312,12414,1025
Montgomery,50339,662,59,603,10
Nassau,1387608,12535,1917,10618,261
New York,1578342,53543,11721,41822,1356
Niagara,213024,3573,581,2992,143
Oneida,232534,4847,649,4198,120
Onondaga,470355,9105,1674,7431,365
Ontario,113163,1448,169,1279,15
Orange,396521,4876,763,4113,142
Orleans,40738,367,57,310,4
Oswego,118804,1469,176,1293,10
Otsego,59880,597,82,515,4
Putnam,100991,466,49,417,4
Queens,2333311,39330,10262,29068,1412
Rensselaer,162109,2965,465,2500,127
Richmond,493953,4845,1313,3532,172
Rockland,336184,2292,329,1963,36
St Lawrence,109519,1154,165,989,5
Saratoga,237381,2492,272,2220,20
Schenectady,159464,3850,527,3323,103
Schoharie,31790,289,37,252,1
Schuyler,18081,50,10,40,1
Seneca,34750,530,65,465,7
Steuben,96697,818,163,655,4
Suffolk,1510715,17109,1455,15654,328
Sullivan,77612,917,131,786,12
Tioga,48847,420,57,363,3
Tompkins,103627,1976,177,1799,22
Ulster,181879,1700,238,1462,36
Warren,65227,920,66,854,2
Washington,61913,328,66,262,7
Wayne,91230,1210,186,1024,17
Westchester,992573,9216,1504,7712,218
Wyoming,40232,261,52,209,0
Yates,25366,182,34,148,1